Base_AI_answer:```plantuml
@startuml

enum TestType {
    BLOOD
    URINE
    STOOL
    XRAY
    ULTRASOUND
}

class Doctor {
    - practitionerNumber: int
    - signature: Image
    - fullName: String
    - address: String
    - phoneNumber: String
    + provideRequisition()
}

class Patient {
    - healthNumber: String
    - firstName: String
    - lastName: String
    - dateOfBirth: Date
    - address: String
    - phoneNumber: String
    + bookAppointment()
}

class Requisition {
    - validFrom: Date
    - testType: TestType
    - tests: List<Test>
    + addTest()
}

class Test {
    - duration: int
}

class Appointment {
    - confirmationNumber: String
    - date: Date
    - startTime: Time
    - endTime: Time
    - labName: String
    - labRegistrationNumber: String
    + rescheduleAppointment()
    + cancelAppointment()
}

class Lab {
    - address: String
    - businessHours: String
    - registrationNumber: String
    - appointmentFee: double
}

Doctor -- Requisition
Doctor -- Patient
Requisition "1" -- "*" Test
Patient "1" -- "*" Appointment
Appointment "1" -- "1" Lab

@enduml
```
